"Region";"TariffItem";"UnitOfMeasure";"StartDate";"EndDate";"MeasureDeviceAvail";"StoveType";"ConsumptionTime";"ConsumptionTarget";"Agency";"TariffValue";"global_id";
"Регион";"Предмет тарифа";"Единицы измерения";"Дата начала действия тарифа";"Дата окончания действия тарифа";"Наличие приборов учета";"Тип кухонной плиты";"Время потребления";"Цель потребления";"Организация, оказывающая услуги";"Значение тарифа";"global_id";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2013";"31.12.2013";"да";"";"";"";"ОАО «МОЭК» по системам централизованного теплоснабжения на территории: поселение Сосенское, поселение Десеновское, поселение Филимонковское, поселение Внуковское, поселение «Мосрентген», поселение Московский, поселение Воскресенское";"1703.37";"19693172";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2013";"30.06.2013";"да";"";"";"";"ОАО «МОЭК» по системам централизованного теплоснабжения на территории: поселение Щербинка";"1524.91";"19693173";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2013";"31.12.2013";"да";"";"";"";"ОАО «МОЭК» по системам централизованного теплоснабжения на территории: поселение Щербинка";"1646.9";"19693174";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2013";"30.06.2013";"да";"";"";"";"ОАО «МОЭК» по системам централизованного теплоснабжения на территории: поселение Кленовское";"1588.75";"19693175";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2013";"31.12.2013";"да";"";"";"";"ОАО «МОЭК» по системам централизованного теплоснабжения на территории: поселение Краснопахорское, поселение Вороновское, поселение Роговское, поселение Михайлово-Ярцевское";"1812.57";"19693176";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2013";"30.06.2013";"да";"";"";"";"ОАО «МОЭК» по системам централизованного теплоснабжения на территории: поселение Киевский, поселение Новофедоровское, поселение Кокошкино, поселение Первомайское, поселение Марушкинское";"2015.32";"19693177";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2013";"30.06.2013";"да";"";"";"";"ОАО «МОЭК» по системам централизованного теплоснабжения на территории: поселок подсобного хозяйства Минзаг поселения Краснопахорское";"1993.96";"19693178";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2013";"31.12.2013";"да";"";"";"";"ОАО «МОЭК» по системам централизованного теплоснабжения на территории: поселок подсобного хозяйства Минзаг поселения Краснопахорское";"2153.48";"19693179";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2013";"30.06.2013";"да";"";"";"";"ОАО «МОЭК» по системам централизованного теплоснабжения на территории: поселение Щаповское";"1588.75";"19693180";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2013";"30.06.2013";"да";"";"";"";"ФБУ «Санаторий «Вороново» Министерства экономического развития Российской Федерации»";"1157.58";"19693181";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2013";"31.12.2013";"да";"";"";"";"ФБУ «Санаторий «Вороново» Министерства экономического развития Российской Федерации»";"1250.19";"19693182";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2013";"30.06.2013";"да";"";"";"";"ОАО «Троицкая камвольная фабрика»";"1169.97";"19693183";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2013";"31.12.2013";"да";"";"";"";"ОАО «Троицкая камвольная фабрика»";"1263.57";"19693184";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2013";"30.06.2013";"да";"";"";"";"ЗАО «Санаторий «Ерино»";"1183.19";"19693185";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2013";"30.06.2013";"да";"";"";"";"ОАО «Мосагронаучприбор»";"1193.69";"19693186";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2013";"31.12.2013";"да";"";"";"";"ОАО «Мосагронаучприбор»";"1289.19";"19693187";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2013";"30.06.2013";"да";"";"";"";"ФКУ Федеральной миграционной службы «Центр медико-психологической реабилитации вынужденных переселенцев «Ватутинки-1»";"1211.62";"19693188";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2013";"31.12.2013";"да";"";"";"";"ФКУ Федеральной миграционной службы «Центр медико-психологической реабилитации вынужденных переселенцев «Ватутинки-1»";"1308.55";"19693189";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2013";"30.06.2013";"да";"";"";"";"ОАО «Клинический санаторий Главмосстроя Валуево»";"1304.37";"19693190";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2013";"31.12.2013";"да";"";"";"";"ОАО «Клинический санаторий Главмосстроя Валуево»";"1321.25";"19693191";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2013";"31.12.2013";"да";"";"";"";"ФГУП «Агропромышленный комплекс «Воскресенский» Управления делами Президента Российской Федерации";"1429.25";"19693192";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2013";"30.06.2013";"да";"";"";"";"ФГАОУ ВПО «Национальный исследовательский технологический университет «МИСиС»";"1391.57";"19693193";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2013";"31.12.2013";"да";"";"";"";"ФГАОУ ВПО «Национальный исследовательский технологический университет «МИСиС»";"1502.9";"19693194";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2013";"31.12.2013";"да";"";"";"";"МУП «Троицктеплоэнерго»";"1530.8";"19693195";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2013";"30.06.2013";"да";"";"";"";"ГБУ города Москвы Психоневрологический интернат № 5 Департамента социальной защиты населения города Москвы";"1452.34";"19693196";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2013";"31.12.2013";"да";"";"";"";"ГБУ города Москвы Психоневрологический интернат № 5 Департамента социальной защиты населения города Москвы";"1550.02";"19693197";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2013";"30.06.2013";"да";"";"";"";"ООО «РегионЭнергоСервис»";"1561.02";"19693198";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2013";"30.06.2013";"да";"";"";"";"ОАО «Теплоэнергетическая инвестиционная компания»";"1576.24";"19693199";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2013";"31.12.2013";"да";"";"";"";"ОАО «Теплоэнергетическая инвестиционная компания»";"1702.34";"19693200";
